,,time,mr L1,mr L2,mr L3,RAM_A(L3_TCM),Flops
ijk,32,0.366371333333,62.9441236667,73.2323176667,138.666666667
,52,0.212163666667,35.880782,72.4335783333,189.333333333
,128,50.2317466667,0.107083666667,14.8539426667,476.0
,148,3.21845733333,0.697992333333,71.2351926667,1067.33333333
,1024,52.7953823333,94.5175883333,0.0125053333333,163689.666667
,2048,53.042872,93.9860486667,0.00933066666667,889739.0

ikj,32,0.758536333333,38.78111,58.4197046667,96.0
,52,0.410070666667,43.8434626667,61.535702,178.333333333
,128,7.601346,0.984961333333,52.063558,604.0
,148,7.67731633333,0.929548333333,59.7734756667,1098.0
,1024,8.23412,2.47861966667,2.78524566667,46782.0
,2048,8.25904033333,2.499091,1.931329,333742.666667

jki,32,0.270954333333,53.8768396667,68.0939866667,125.0
,52,0.156623333333,43.2313906667,73.9980546667,274.0
,128,66.5430046667,0.282178333333,2.60366166667,481.0
,148,2.821869,1.326542,58.2758486667,1884.66666667
,1024,70.643369,93.5789716667,0.00741533333333,176481.666667
,2048,86.852796,75.527041,0.476587,125328772.667

ijk_t,32,0.404897666667,31.533016,56.4558626667,76.3333333333
,52,0.199163333333,31.78889,58.0494586667,152.333333333
,128,3.242697,0.754364,47.8116976667,531.0
,148,3.092324,0.576379333333,70.884468,922.333333333
,1024,3.15628333333,3.35299933333,3.459366,80044.0
,2048,3.14182966667,2.825401,2.19301466667,331708.0

jki_t,32,0.708930333333,50.2593916667,60.1236113333,103.666666667
,52,0.479173,38.8731206667,60.5656166667,196.666666667
,128,9.30733433333,1.20058633333,37.9986456667,789.0
,148,8.39400133333,0.999817333333,53.7830746667,1123.33333333
,1024,8.552511,5.89066766667,3.166119,129929.333333
,2048,8.33982033333,5.01485,21.3772176667,6537501.0

block,32,0.400623333333,31.2142816667,56.9762903333,79.3333333333
,52,0.255144666667,22.1348786667,64.3679133333,149.333333333
,128,1.4094,3.52754766667,39.8529956667,873.0
,148,1.505518,3.546242,30.40946,1522.33333333
,1024,31.568695,4.61902366667,0.380930333333,121873.666667
,2048,31.5046843333,4.592151,4.59769533333,11799610.6667

block_omp,32,7.52222733333,32.244751,35.8607076667,752.333333333
,52,5.88325133333,34.3518346667,33.673142,917.666666667
,128,2.51867333333,43.9056103333,31.5741426667,2205.66666667
,148,2.91850166667,39.767189,25.4264816667,2555.33333333
,1024,49.818962,4.683092,16.5439123333,539528.333333
,2048,38.6579933333,4.61681433333,25.4346433333,5334224.0

