,,time,mr L1,mr L2,mr L3,RAM_A(L3_TCM),Flops
block_omp,32,608.666666667,0.078056,0.282856666667,0.296162333333,542.0,17797.0
,52,867.666666667,0.0686683333333,0.429609,0.26664,787.333333333,31014.3333333
,128,3763.66666667,0.0259646666667,0.483810333333,0.317106333333,2239.33333333,278110.666667
,148,5612.66666667,0.02757,0.647168,0.253155666667,2433.66666667,398392.0
,1024,293226.0,0.384527333333,0.0397363333333,0.195304333333,481525.666667,134713976.0
,2048,6820012.33333,0.309978,0.068813,0.242764,5667072.33333,1196741233.33

